1 	Minnesota 	16.9 	22.7 	26.0 	14.8 	18.6 	18.4
2 	Seattle 	17.6 	24.7 	24.0 	19.2 	16.2 	17.6
3 	Baltimore 	17.8 	15.0 	7.0 	14.4 	22.0 	25.1
4 	Arizona 	17.8 	18.7 	20.0 	12.7 	28.0 	21.2
5 	Philadelphia 	17.8 	24.0 	15.0 	9.5 	24.4 	26.9
6 	New England 	18.1 	24.0 	31.0 	17.6 	18.8 	19.7
7 	Kansas City 	18.7 	15.0 	17.0 	16.2 	20.6 	17.4
8 	Dallas 	18.9 	21.0 	30.0 	18.5 	19.2 	23.4
9 	Denver 	18.9 	24.0 	23.0 	18.2 	19.6 	17.9
10 	LA Rams 	19.2 	12.0 	6.0 	15.3 	21.2 	20.6
11 	NY Giants 	20.4 	17.7 	20.0 	21.6 	19.0 	27.6
12 	Houston 	20.9 	20.3 	21.0 	16.4 	26.5 	20.2
13 	Buffalo 	22.6 	33.3 	31.0 	28.0 	18.2 	22.4
14 	Pittsburgh 	22.9 	27.7 	35.0 	21.0 	25.2 	19.9
15 	Miami 	22.9 	24.0 	24.0 	23.4 	22.2 	24.3
16 	Detroit 	22.9 	17.7 	16.0 	21.0 	24.4 	25.0
17 	Washington 	23.2 	22.3 	20.0 	25.0 	21.0 	24.4
18 	Cincinnati 	23.3 	21.7 	21.0 	17.7 	26.2 	17.5
19 	Chicago 	23.9 	24.0 	36.0 	17.5 	29.0 	24.8
20 	NY Jets 	24.4 	21.3 	9.0 	18.8 	28.2 	19.6
21 	Oakland 	24.8 	20.0 	20.0 	28.0 	22.2 	24.9
22 	Tennessee 	25.1 	30.0 	25.0 	24.8 	25.5 	26.4
23 	Carolina 	25.1 	16.7 	20.0 	21.2 	30.0 	19.5
24 	Green Bay 	26.0 	37.0 	47.0 	22.8 	30.0 	20.4
25 	Jacksonville 	26.6 	26.3 	24.0 	25.8 	27.2 	28.0
26 	Tampa Bay 	26.9 	27.7 	10.0 	29.4 	23.8 	26.1
27 	LA Chargers 	27.8 	31.0 	31.0 	25.6 	30.0 	24.9
28 	Atlanta 	28.3 	28.0 	24.0 	32.2 	25.7 	21.6
29 	Indianapolis 	28.4 	27.3 	26.0 	28.5 	28.4 	25.5
30 	New Orleans 	29.2 	22.7 	25.0 	32.6 	25.0 	29.8
31 	Cleveland 	30.1 	31.3 	28.0 	31.0 	29.5 	27.0
32 	San Francisco 	31.4 	32.7 	23.0 	26.4 	37.8 	24.2
