1 	Detroit 	39.0 	39.0 	39.0 	-- 	39.0 	22.4
2 	Pittsburgh 	38.0 	38.0 	38.0 	-- 	38.0 	25.4
3 	Oakland 	35.0 	35.0 	35.0 	-- 	35.0 	22.4
4 	Indianapolis 	35.0 	35.0 	35.0 	35.0 	-- 	20.8
5 	New Orleans 	34.0 	34.0 	34.0 	34.0 	-- 	25.5
6 	Kansas City 	33.0 	33.0 	33.0 	33.0 	-- 	25.3
7 	Tampa Bay 	31.0 	31.0 	31.0 	-- 	31.0 	21.4
8 	Philadelphia 	29.0 	29.0 	29.0 	29.0 	-- 	23.6
9 	San Francisco 	28.0 	28.0 	28.0 	28.0 	-- 	14.9
10 	LA Chargers 	27.0 	27.0 	27.0 	-- 	27.0 	20.0
11 	Green Bay 	27.0 	27.0 	27.0 	-- 	27.0 	23.5
12 	Minnesota 	25.0 	25.0 	25.0 	-- 	25.0 	22.0
13 	Atlanta 	24.0 	24.0 	24.0 	24.0 	-- 	21.2
14 	Jacksonville 	23.0 	23.0 	23.0 	23.0 	-- 	23.5
15 	New England 	23.0 	23.0 	23.0 	-- 	23.0 	28.3
16 	Houston 	23.0 	23.0 	23.0 	23.0 	-- 	19.9
17 	Cincinnati 	23.0 	23.0 	23.0 	-- 	23.0 	25.6
18 	NY Jets 	22.0 	22.0 	22.0 	22.0 	-- 	24.2
19 	Arizona 	21.0 	21.0 	21.0 	21.0 	-- 	29.4
20 	Denver 	21.0 	21.0 	21.0 	21.0 	-- 	22.2
21 	NY Giants 	20.0 	20.0 	20.0 	-- 	20.0 	26.2
22 	Carolina 	20.0 	20.0 	20.0 	-- 	20.0 	31.1
23 	Dallas 	19.0 	19.0 	19.0 	19.0 	-- 	17.2
24 	Tennessee 	16.0 	16.0 	16.0 	16.0 	-- 	18.7
25 	Washington 	16.0 	16.0 	16.0 	16.0 	-- 	23.9
26 	Chicago 	14.0 	14.0 	14.0 	-- 	14.0 	20.9
27 	Baltimore 	13.0 	13.0 	13.0 	13.0 	-- 	20.5
28 	Seattle 	12.0 	12.0 	12.0 	12.0 	-- 	25.4
29 	Cleveland 	10.0 	10.0 	10.0 	-- 	10.0 	17.4
30 	Miami 	10.0 	10.0 	10.0 	-- 	10.0 	19.4
31 	Buffalo 	7.0 	7.0 	7.0 	-- 	7.0 	23.7
32 	LA Rams 	0.0 	0.0 	0.0 	-- 	0.0 	17.5
